,TeamNumber,Location/Category,Division,Tier,ScoredImages,PlayTimehh:mm:ss,**,CCSScore,Adjust,CiscoScore,TotalScore
1,15-1356,CA,Open,High School,3,01:41:58,,300,0.00,30.00,330.00
2,15-1885,CA,Open,High School,3,02:11:56,,300,0.00,30.00,330.00
3,15-1890,CA,Open,High School,3,02:40:59,,300,0.00,30.00,330.00
4,15-2315,CO,Open,High School,3,02:23:56,,300,0.00,30.00,330.00
5,15-2593,AL,Open,High School,3,02:57:59,,300,0.00,30.00,330.00
6,15-1889,CA,Open,High School,3,02:58:01,,300,0.00,30.00,330.00
7,15-1884,CA,Open,High School,3,03:48:56,,300,0.00,30.00,330.00
8,15-1760,MD,Open,High School,3,03:58:59,,300,0.00,30.00,330.00
9,15-1248,CAN,Open,High School,3,03:59:59,,300,0.00,30.00,330.00
10,15-1808,CA,Open,High School,3,04:39:57,,300,0.00,30.00,330.00
11,15-1807,CA,Open,High School,3,04:54:56,,300,0.00,30.00,330.00
12,15-1424,MO,Open,High School,3,05:41:59,,300,0.00,30.00,330.00
13,15-1322,IN,Open,High School,3,04:03:56,M,300,0.00,29.71,329.71
14,15-1432,MO,Open,High School,3,04:24:56,,300,0.00,29.71,329.71
15,15-1888,CA,Open,High School,3,01:14:58,,300,0.00,29.43,329.43
16,15-1883,CA,Open,High School,3,01:23:58,,300,0.00,29.00,329.00
17,15-0858,VA,Open,High School,3,01:36:55,,300,0.00,28.86,328.86
18,15-0501,CA,Open,High School,3,02:15:56,,300,0.00,28.86,328.86
19,15-1766,OR,Open,High School,3,02:28:00,,300,0.00,28.86,328.86
20,15-0505,CA,Open,High School,3,02:40:55,,300,0.00,28.86,328.86
21,15-1763,MD,Open,High School,3,05:49:00,,300,0.00,28.86,328.86
22,15-1893,CA,Open,High School,3,03:23:57,,300,0.00,28.71,328.71
23,15-3117,CA,All Service,High School,3,04:19:56,,300,0.00,28.71,328.71
24,15-1895,CA,Open,High School,3,04:15:00,,300,0.00,28.57,328.57
25,15-0041,NC,All Service,High School,3,05:26:00,,300,0.00,28.57,328.57
26,15-1224,CAN,Open,High School,3,02:02:32,,300,0.00,28.43,328.43
27,15-4893,IL,Open,High School,3,02:17:56,,300,0.00,28.43,328.43
28,15-2026,CA,Open,High School,3,05:07:02,,300,0.00,28.43,328.43
29,15-2071,CA,Open,High School,3,02:39:56,,300,0.00,28.38,328.38
30,15-4194,CA,All Service,High School,3,01:14:56,,300,0.00,28.29,328.29
31,15-3798,CAN,Open,High School,3,04:47:01,,300,0.00,28.29,328.29
32,15-3304,CA,Open,High School,3,02:53:01,,300,0.00,28.14,328.14
33,15-1762,MD,Open,High School,3,03:34:59,,300,0.00,28.14,328.14
34,15-0507,CA,Open,High School,3,03:16:58,,300,0.00,28.00,328.00
35,15-3126,GA,Open,High School,3,580:40:00,T,300,0.00,28.00,328.00
36,15-1430,MO,Open,High School,3,04:49:40,,300,0.00,27.81,327.81
37,15-0062,OK,Open,High School,3,03:11:56,,300,0.00,27.71,327.71
38,15-1881,MD,Open,High School,3,03:50:12,,300,0.00,27.43,327.43
39,15-0070,GA,Open,High School,3,03:39:58,,300,0.00,27.29,327.29
40,15-1953,NV,Open,High School,3,04:49:56,,300,0.00,27.29,327.29
41,15-1249,CAN,Open,High School,3,05:25:55,,300,0.00,27.29,327.29
42,15-1555,CAN,Open,High School,3,03:36:00,,300,0.00,27.14,327.14
43,15-1145,CA,Open,High School,3,02:43:56,,300,0.00,27.00,327.00
44,15-4367,CA,Open,High School,3,05:43:02,,300,0.00,27.00,327.00
45,15-0504,CA,Open,High School,3,02:20:09,,300,0.00,26.86,326.86
46,15-3736,TX,All Service,High School,3,02:23:56,,300,0.00,26.71,326.71
47,15-3812,CA,Open,High School,3,05:05:59,,300,0.00,26.71,326.71
48,15-1924,CAN,Open,High School,3,151:36:56,T,300,0.00,26.57,326.57
49,15-4895,IL,Open,High School,3,02:52:26,,300,0.00,26.48,326.48
50,15-1894,CA,Open,High School,3,05:00:00,,300,0.00,26.43,326.43
51,15-0508,CA,Open,High School,3,03:04:56,,300,0.00,26.14,326.14
52,15-1325,VA,Open,High School,3,04:02:56,,300,0.00,26.14,326.14
53,15-0523,CA,Open,High School,3,04:47:00,,300,0.00,26.14,326.14
54,15-1879,MD,Open,High School,3,05:08:56,,300,0.00,26.10,326.10
55,15-0500,CA,Open,High School,3,05:17:56,,296,0.00,30.00,326.00
56,15-2310,TX,Open,High School,3,04:30:00,,300,0.00,26.00,326.00
57,15-4368,CA,Open,High School,3,05:26:55,,300,0.00,26.00,326.00
58,15-0169,IN,Open,High School,3,05:30:56,,300,0.00,25.86,325.86
59,15-4365,CA,Open,High School,3,05:07:56,,300,0.00,25.81,325.81
60,15-2316,CO,Open,High School,3,04:20:00,,300,0.00,25.14,325.14
61,15-3797,CAN,Open,High School,3,05:51:56,,296,0.00,29.14,325.14
62,15-2268,ID,All Service,High School,3,05:33:59,,300,0.00,25.14,325.14
63,15-1225,CAN,Open,High School,3,03:51:56,,300,0.00,24.95,324.95
64,15-0254,KS,Open,High School,3,01:35:55,,300,0.00,24.86,324.86
65,15-1984,CA,Open,High School,3,02:39:56,,300,0.00,24.86,324.86
66,15-0461,MI,Open,High School,3,01:46:49,,300,0.00,24.81,324.81
67,15-1297,CA,Open,High School,3,05:56:56,,296,0.00,28.81,324.81
68,15-0522,CA,Open,High School,3,03:36:57,,300,0.00,24.71,324.71
69,15-2860,CA,Open,High School,3,05:57:01,,295,0.00,29.43,324.43
70,15-0100,AL,Open,High School,3,05:50:59,,297,0.00,27.38,324.38
71,15-4251,VA,Open,High School,3,05:21:55,,300,0.00,24.29,324.29
72,15-4894,IL,Open,High School,3,02:36:55,,300,0.00,24.14,324.14
73,15-1434,TX,Open,High School,3,04:20:01,,295,0.00,28.57,323.57
74,15-1556,CAN,Open,High School,3,04:27:56,,300,0.00,23.43,323.43
75,15-0857,VA,Open,High School,3,02:19:59,,300,0.00,23.29,323.29
76,15-3193,HI,Open,High School,3,04:47:58,,300,0.00,23.29,323.29
77,15-3454,CA,Open,High School,3,03:33:56,,300,0.00,23.00,323.00
78,15-1154,MD,Open,High School,3,05:53:56,,295,0.00,27.86,322.86
79,15-1118,OR,Open,High School,3,04:44:56,,300,0.00,22.57,322.57
80,15-0864,VA,Open,High School,3,05:30:56,,300,0.00,22.57,322.57
81,15-0032,TX,All Service,High School,3,05:28:57,,300,0.00,22.43,322.43
82,15-4317,TX,Open,High School,3,05:26:56,,295,0.00,27.14,322.14
83,15-4219,CO,Open,High School,3,04:39:56,,296,0.00,26.00,322.00
84,15-1951,NV,Open,High School,3,05:47:57,,295,0.00,26.86,321.86
85,15-4374,MD,Open,High School,3,05:54:55,,295,0.00,26.57,321.57
86,15-1923,CAN,Open,High School,3,04:01:00,,300,0.00,21.43,321.43
87,15-1538,OH,Open,High School,3,05:45:59,,295,0.00,26.24,321.24
88,15-1557,CAN,Open,High School,3,02:22:56,,300,0.00,21.00,321.00
89,15-0248,KS,Open,High School,3,04:17:55,,295,0.00,25.86,320.86
90,15-2022,AL,Open,High School,3,04:35:00,,295,0.00,25.38,320.38
91,15-1878,MD,Open,High School,3,05:40:56,,295,0.00,25.29,320.29
92,15-4709,CAN,Open,High School,3,05:49:55,,290,0.00,30.00,320.00
93,15-0907,CAN,Open,High School,3,05:30:56,,300,0.00,20.00,320.00
94,15-1804,TX,Open,High School,3,05:57:59,,295,0.00,24.71,319.71
95,15-2861,CA,Open,High School,3,05:52:59,,296,0.00,23.71,319.71
96,15-1494,NY,Open,High School,3,05:45:56,,296,0.00,23.67,319.67
97,15-0246,TX,Open,High School,3,04:50:59,,295,0.00,24.57,319.57
98,15-1899,CA,Open,High School,3,05:34:00,,291,0.00,28.43,319.43
99,15-0273,NJ,All Service,High School,3,05:53:55,,290,0.00,29.43,319.43
100,15-2101,NV,Open,High School,3,05:46:00,,290,0.00,29.14,319.14
101,15-0048,OK,Open,High School,3,03:40:56,,300,0.00,18.86,318.86
102,15-1054,TX,Open,High School,3,05:56:00,,290,0.00,28.86,318.86
103,15-0053,OK,Open,High School,3,05:35:56,,300,0.00,18.86,318.86
104,15-1497,AL,Open,High School,3,05:46:56,,300,0.00,18.86,318.86
105,15-0980,AZ,Open,High School,3,05:10:05,,290,0.00,28.57,318.57
106,15-0049,OK,Open,High School,3,05:40:56,,300,0.00,18.57,318.57
107,15-1655,CAN,Open,High School,3,05:42:56,,300,0.00,18.57,318.57
108,15-0908,CAN,Open,High School,3,05:44:01,,300,0.00,18.52,318.52
109,15-3350,CA,Open,High School,3,05:54:59,,295,0.00,23.43,318.43
110,15-1689,CA,Open,High School,3,03:39:57,,295,0.00,23.29,318.29
111,15-1080,CA,Open,High School,3,04:30:57,,300,0.00,18.29,318.29
112,15-0243,TX,All Service,High School,3,05:10:56,,295,0.00,23.29,318.29
113,15-1968,CA,Open,High School,3,05:53:00,,295,0.00,23.29,318.29
114,15-0274,NJ,All Service,High School,3,05:43:56,,290,0.00,28.00,318.00
115,15-0275,NJ,All Service,High School,3,05:34:56,,290,0.00,27.71,317.71
116,15-4719,IL,Open,High School,3,05:47:03,,290,0.00,27.67,317.67
117,15-0016,CO,Open,High School,3,02:38:56,,290,0.00,27.43,317.43
118,15-1806,TX,Open,High School,3,05:57:57,,290,0.00,27.43,317.43
119,15-1593,MA,Open,High School,3,05:15:02,,290,0.00,27.38,317.38
120,15-0190,CA,All Service,High School,3,03:25:55,,295,0.00,22.24,317.24
121,15-0065,OK,Open,High School,3,04:05:56,,300,0.00,17.19,317.19
122,15-2698,TX,Open,High School,3,05:58:56,,295,0.00,21.71,316.71
123,15-1803,TX,Open,High School,3,05:40:56,,290,0.00,26.43,316.43
124,15-0376,MD,All Service,High School,3,05:49:00,,290,0.00,26.43,316.43
125,15-1809,CA,Open,High School,3,05:24:57,,290,0.00,25.81,315.81
126,15-2075,CA,Open,High School,3,01:09:57,,291,0.00,24.71,315.71
127,15-0965,FL,Open,High School,3,04:50:56,,290,0.00,25.71,315.71
128,15-0540,CA,Open,High School,3,05:45:01,,290,0.00,25.71,315.71
129,15-0745,FL,Open,High School,3,05:19:57,,290,0.00,25.71,315.71
130,15-0796,OR,Open,High School,3,05:34:56,,290,0.00,25.43,315.43
131,15-1431,MO,Open,High School,3,04:19:56,,300,0.00,15.38,315.38
132,15-1216,VA,Open,High School,3,05:46:55,,291,0.00,24.38,315.38
133,15-3557,MA,Open,High School,3,03:15:56,,290,0.00,25.29,315.29
134,15-0320,CO,Open,High School,3,04:44:59,,290,0.00,25.00,315.00
135,15-0917,NC,Open,High School,3,05:58:56,,295,0.00,19.86,314.86
136,15-4062,PA,Open,High School,3,05:59:55,,290,0.00,24.86,314.86
137,15-1438,CA,Open,High School,3,05:58:02,,291,0.00,23.57,314.57
138,15-3741,TX,Open,High School,3,05:49:56,,287,0.00,27.57,314.57
139,15-0659,GA,Open,High School,3,05:20:58,,286,0.00,28.43,314.43
140,15-0444,TX,Open,High School,3,05:58:56,,286,0.00,28.43,314.43
141,15-2512,CA,Open,High School,3,05:09:56,,286,0.00,28.00,314.00
142,15-2863,CA,Open,High School,3,05:36:57,,286,0.00,27.86,313.86
143,15-4461,TX,Open,High School,3,05:10:00,,295,0.00,18.29,313.29
144,15-4649,CA,Open,High School,3,05:19:57,,295,0.00,17.86,312.86
145,15-2552,FL,Open,High School,3,05:33:59,,290,0.00,22.86,312.86
146,15-4431,CA,Open,High School,3,05:26:00,,286,0.00,26.57,312.57
147,15-1584,CA,Open,High School,3,05:07:57,,288,0.00,24.43,312.43
148,15-1339,NV,Open,High School,3,05:29:57,,295,0.00,17.43,312.43
149,15-1919,TX,Open,High School,3,05:49:56,,291,0.00,21.43,312.43
150,15-0509,CA,Open,High School,3,03:11:58,,295,0.00,17.29,312.29
151,15-0568,CT,Open,High School,3,05:31:54,,288,0.00,24.29,312.29
152,15-2741,NV,Open,High School,3,05:53:56,,291,0.00,21.14,312.14
153,15-2170,CA,Open,High School,3,05:51:58,,290,0.00,22.00,312.00
154,15-0028,NJ,Open,High School,3,05:36:01,,300,0.00,12.00,312.00
155,15-2072,CA,Open,High School,3,05:56:58,,286,0.00,25.86,311.86
156,15-0279,SC,Open,High School,3,05:51:56,,290,0.00,21.71,311.71
157,15-0374,MD,All Service,High School,3,05:47:55,,284,0.00,27.71,311.71
158,15-0662,GA,Open,High School,3,05:19:01,,287,0.00,24.57,311.57
159,15-4073,WA,,,3,05:47:00,,288,0.00,23.43,311.43
160,15-3247,MD,Open,High School,3,05:57:56,,291,0.00,20.33,311.33
161,15-0033,OH,Open,High School,3,05:43:56,,295,0.00,16.29,311.29
162,15-3205,MO,All Service,High School,3,05:48:55,,285,0.00,26.29,311.29
163,15-2914,TX,Open,High School,3,04:45:01,,290,0.00,21.14,311.14
164,15-4750,MD,Open,High School,3,05:52:41,,287,0.00,24.14,311.14
165,15-3954,MD,Open,High School,3,05:36:55,,282,0.00,28.38,310.38
166,15-3482,WA,Open,High School,3,05:26:59,,285,0.00,25.14,310.14
167,15-3457,CA,Open,High School,3,02:12:56,,300,0.00,10.00,310.00
168,15-2506,CO,All Service,High School,3,05:30:59,,285,0.00,24.57,309.57
169,15-0647,IL,Open,High School,3,04:19:58,,282,0.00,27.43,309.43
170,15-2898,ID,Open,High School,3,04:12:57,,281,0.00,28.43,309.43
171,15-1796,CO,Open,High School,3,05:38:56,,290,0.00,19.29,309.29
172,15-1589,MA,Open,High School,3,05:44:59,,290,0.00,19.14,309.14
173,15-0327,NC,Open,High School,3,05:54:56,,281,0.00,28.00,309.00
174,15-0294,CA,All Service,High School,3,05:46:56,,300,0.00,9.00,309.00
175,15-0135,NY,All Service,High School,3,05:41:56,,285,0.00,23.86,308.86
176,15-1767,OR,Open,High School,3,05:42:56,,288,0.00,20.86,308.86
177,15-3075,TX,Open,High School,3,147:34:56,T,78,208.00,22.86,308.86
178,15-2901,ID,Open,High School,3,03:12:57,,282,0.00,26.71,308.71
179,15-2700,TX,Open,High School,3,05:58:56,,295,-10.00,23.71,308.71
180,15-1277,PA,Open,High School,3,05:42:59,,281,0.00,27.67,308.67
181,15-1579,CA,Open,High School,3,05:39:59,,295,0.00,13.14,308.14
182,15-3570,VA,Open,High School,3,05:53:55,,280,0.00,28.00,308.00
183,15-1810,CA,Open,High School,3,05:49:56,,281,0.00,27.00,308.00
184,15-3364,CA,Open,High School,3,05:50:57,,300,0.00,7.95,307.95
185,15-3220,NM,Open,High School,3,04:52:56,,295,0.00,12.86,307.86
186,15-0401,HI,Open,High School,3,05:54:00,,281,0.00,26.86,307.86
187,15-3627,HI,All Service,High School,3,05:57:57,,280,0.00,27.86,307.86
188,15-1023,CA,Open,High School,3,05:48:58,,287,0.00,20.81,307.81
189,15-3473,NJ,Open,High School,3,05:47:56,,284,0.00,23.81,307.81
190,15-3458,CA,Open,High School,3,05:52:01,,291,0.00,16.57,307.57
191,15-3400,MI,Open,High School,3,05:45:56,,290,0.00,17.43,307.43
192,15-3641,HI,Open,High School,3,05:47:57,,281,0.00,26.43,307.43
193,15-1289,CA,Open,High School,3,05:41:59,,290,0.00,17.33,307.33
194,15-1323,IN,Open,High School,3,05:49:59,,285,0.00,22.14,307.14
195,15-1174,VA,Open,High School,3,05:58:00,,295,0.00,12.14,307.14
196,15-2479,GA,Open,High School,3,05:49:00,,285,0.00,22.00,307.00
197,15-2339,TX,Open,High School,3,05:08:00,,286,0.00,20.86,306.86
198,15-1925,CAN,Open,High School,3,03:49:00,,300,0.00,6.71,306.71
199,15-4351,MD,Open,High School,3,05:34:59,,284,0.00,22.71,306.71
200,15-0736,TX,Open,High School,3,05:54:56,,285,0.00,21.43,306.43
201,15-1934,VA,Open,High School,3,05:28:56,,283,0.00,23.43,306.43
202,15-3431,MI,Open,High School,3,05:53:57,,285,0.00,21.24,306.24
203,15-4866,TX,Open,High School,3,05:14:59,,282,0.00,24.14,306.14
204,15-0539,CA,Open,High School,3,05:53:56,,280,0.00,26.14,306.14
205,15-0837,GA,Open,High School,3,05:52:59,,281,0.00,24.95,305.95
206,15-2670,CA,Open,High School,3,05:52:00,,277,0.00,28.86,305.86
207,15-0044,IN,Open,High School,3,04:28:56,,285,0.00,20.81,305.81
208,15-0027,NJ,Open,High School,3,05:47:58,,291,0.00,14.71,305.71
209,15-4744,NJ,Open,High School,3,05:59:57,,290,0.00,15.67,305.67
210,15-1952,NV,Open,High School,3,05:56:43,,280,0.00,25.29,305.29
211,15-1613,MD,Open,High School,3,05:21:58,,277,0.00,27.71,304.71
212,15-1069,AZ,All Service,High School,3,05:54:56,,290,0.00,14.71,304.71
213,15-1148,TX,Open,High School,3,05:59:56,,290,0.00,14.67,304.67
214,15-4644,CA,Open,High School,3,05:51:56,,290,0.00,14.43,304.43
215,15-2488,GA,Open,High School,3,05:08:56,,280,0.00,24.29,304.29
216,15-4152,GA,Open,High School,3,04:59:56,,281,0.00,23.24,304.24
217,15-2073,CA,Open,High School,3,05:46:56,,286,0.00,18.14,304.14
218,15-3902,VA,Open,High School,3,04:56:56,,275,0.00,28.86,303.86
219,15-1898,CA,Open,High School,3,05:50:00,,275,0.00,28.86,303.86
220,15-1880,MD,Open,High School,3,05:37:55,,281,0.00,22.57,303.57
221,15-1873,VA,Open,High School,3,05:07:55,,280,0.00,23.43,303.43
222,15-2553,FL,Open,High School,3,05:32:55,,291,0.00,12.43,303.43
223,15-1526,MI,Open,High School,3,05:42:55,,276,0.00,27.43,303.43
224,15-0652,GA,Open,High School,3,05:30:58,,290,0.00,13.24,303.24
225,15-3388,FL,All Service,High School,3,06:07:56,T,290,-2.00,15.24,303.24
226,15-3206,MO,All Service,High School,3,05:51:56,,276,0.00,27.00,303.00
227,15-2661,CA,Open,High School,3,05:46:00,,275,0.00,28.00,303.00
228,15-2074,CA,Open,High School,3,05:48:56,,282,0.00,21.00,303.00
229,15-0026,TX,All Service,High School,3,05:53:57,,286,0.00,16.95,302.95
230,15-3799,CAN,Open,High School,3,05:03:35,,275,0.00,27.86,302.86
231,15-3822,CA,Open,High School,3,05:53:59,,276,0.00,26.71,302.71
232,15-3062,AE,Open,High School,3,05:47:56,,275,0.00,27.57,302.57
233,15-1933,VA,Open,High School,3,05:34:57,,279,0.00,23.52,302.52
234,15-4434,CA,Open,High School,3,05:38:00,,292,0.00,10.24,302.24
235,15-2443,OK,Open,High School,3,05:48:56,,278,0.00,24.10,302.10
236,15-0967,FL,Open,High School,3,05:46:00,,290,0.00,11.86,301.86
237,15-2776,CO,Open,High School,3,05:53:53,,277,0.00,24.57,301.57
238,15-0999,VA,All Service,High School,3,04:38:56,,280,-5.00,26.52,301.52
239,15-0198,CA,All Service,High School,3,04:45:59,,279,0.00,22.38,301.38
240,15-1668,AZ,Open,High School,3,05:53:56,,280,0.00,21.29,301.29
241,15-3118,CA,All Service,High School,3,05:56:57,,276,-5.00,30.00,301.00
242,15-0863,VA,Open,High School,3,05:31:59,,276,0.00,25.00,301.00
243,15-2165,VA,Open,High School,3,05:17:56,,272,0.00,29.00,301.00
244,15-4706,CO,Open,High School,3,05:33:56,,295,0.00,6.00,301.00
245,15-2402,CA,Open,High School,3,05:52:56,,271,0.00,29.71,300.71
246,15-2445,OK,Open,High School,3,05:52:00,,295,0.00,5.67,300.67
247,15-3814,TX,Open,High School,3,05:58:56,,282,0.00,18.57,300.57
248,15-1774,MD,Open,High School,3,05:44:56,,276,0.00,24.57,300.57
249,15-3503,MA,Open,High School,3,05:59:03,,281,0.00,19.43,300.43
250,15-0074,NH,Open,High School,3,05:45:56,,277,0.00,23.38,300.38
251,15-3675,WA,Open,High School,3,05:52:00,,285,0.00,15.33,300.33
252,15-1805,TX,Open,High School,3,05:41:55,,273,0.00,27.14,300.14
253,15-0921,AZ,All Service,High School,3,05:47:59,,281,0.00,19.14,300.14
254,15-0351,MI,Open,High School,3,03:07:55,,285,0.00,15.00,300.00
255,15-1896,CA,Open,High School,3,03:55:05,,300,0.00,0.00,300.00
256,15-2747,MI,Open,High School,3,04:46:56,,300,0.00,0.00,300.00
257,15-2750,MI,Open,High School,3,04:09:56,,300,0.00,0.00,300.00
258,15-2751,MI,Open,High School,3,04:09:56,,300,0.00,0.00,300.00
259,15-2749,MI,Open,High School,3,04:17:56,,300,0.00,0.00,300.00
260,15-2748,MI,Open,High School,3,04:14:56,,300,0.00,0.00,300.00
261,15-4710,GA,Open,High School,3,05:01:59,,295,0.00,5.00,300.00
262,15-3553,VA,Open,High School,3,04:47:56,,300,0.00,0.00,300.00
263,15-1761,MD,Open,High School,3,05:56:56,,290,0.00,10.00,300.00
264,15-2797,WI,Open,High School,3,05:52:55,,275,0.00,25.00,300.00
265,15-3252,CA,All Service,High School,3,05:51:00,,290,0.00,10.00,300.00
266,15-1217,VA,Open,High School,3,05:54:55,,295,0.00,5.00,300.00
267,15-4127,CAN,Open,High School,3,05:52:56,,286,0.00,13.95,299.95
268,15-1982,NY,All Service,High School,3,08:57:56,T,280,-6.00,25.86,299.86
269,15-3378,CO,Open,High School,3,05:43:56,,282,0.00,17.67,299.67
270,15-1608,CA,Open,High School,3,05:55:56,,275,0.00,24.57,299.57
271,15-3522,WY,Open,High School,3,05:51:56,,270,0.00,29.43,299.43
272,15-3324,CA,Open,High School,3,04:29:00,,274,0.00,25.38,299.38
273,15-4360,CA,Open,High School,3,05:46:56,,275,0.00,24.29,299.29
274,15-3408,VA,Open,High School,3,05:34:25,,270,0.00,29.00,299.00
275,15-2223,TX,Open,High School,3,05:46:59,,282,0.00,17.00,299.00
276,15-2610,TX,Open,High School,3,05:44:56,,286,0.00,12.90,298.90
277,15-2820,TX,Open,High School,3,05:47:06,,276,0.00,22.71,298.71
278,15-0185,AR,Open,High School,3,05:31:56,,274,0.00,24.71,298.71
279,15-4168,SC,Open,High School,3,05:52:56,,271,0.00,27.57,298.57
280,15-1620,MI,Open,High School,3,05:38:55,,274,0.00,24.43,298.43
281,15-4197,CA,Open,High School,3,05:08:00,,278,0.00,20.29,298.29
282,15-1433,MO,Open,High School,3,05:18:23,,273,0.00,25.29,298.29
283,15-0975,IN,Open,High School,3,04:18:57,,272,0.00,26.14,298.14
284,15-1324,IN,Open,High School,3,05:46:59,,275,0.00,23.14,298.14
285,15-2669,CA,Open,High School,3,05:21:57,,273,0.00,25.14,298.14
286,15-5107,TX,All Service,High School,3,05:46:02,,276,0.00,22.14,298.14
287,15-1967,CA,Open,High School,3,05:20:56,,273,0.00,25.00,298.00
288,15-1397,TX,Open,High School,3,05:51:59,,281,0.00,16.86,297.86
289,15-2096,NV,Open,High School,3,05:43:59,,275,0.00,22.71,297.71
290,15-0747,FL,Open,High School,3,05:14:00,,276,0.00,21.62,297.62
291,15-3015,MI,Open,High School,3,05:41:57,,277,0.00,20.57,297.57
292,15-0513,VA,Open,High School,3,05:57:58,,273,0.00,24.43,297.43
293,15-3677,WA,Open,High School,3,05:54:59,,287,0.00,10.29,297.29
294,15-0725,FL,Open,High School,3,05:50:00,,274,0.00,23.14,297.14
295,15-1719,MD,Open,High School,3,05:56:56,,281,0.00,16.14,297.14
296,15-1357,CA,Open,High School,3,05:53:00,,273,0.00,24.14,297.14
297,15-3113,TX,Open,High School,3,05:56:58,,288,0.00,9.05,297.05
298,15-1206,NC,Open,High School,3,05:56:57,,273,0.00,24.00,297.00
299,15-1209,NC,Open,High School,3,05:45:56,,279,0.00,18.00,297.00
300,15-0113,NY,Open,High School,3,05:57:57,,291,0.00,6.00,297.00
301,15-0186,MA,Open,High School,3,05:21:56,,282,0.00,14.86,296.86
302,15-0129,TN,Open,High School,3,05:57:56,,276,0.00,20.71,296.71
303,15-3470,AE,Open,High School,3,05:41:59,,277,0.00,19.71,296.71
304,15-3795,MA,All Service,High School,3,05:37:57,,288,0.00,8.57,296.57
305,15-2976,CA,Open,High School,3,04:35:56,,268,0.00,28.00,296.00
306,15-1605,VA,All Service,High School,3,05:47:56,,281,0.00,14.86,295.86
307,15-0420,LA,All Service,High School,3,05:57:57,,287,0.00,8.86,295.86
308,15-1119,FL,All Service,High School,3,05:44:56,,277,0.00,18.67,295.67
309,15-2033,CAN,Open,High School,3,05:54:57,,287,-5.00,13.52,295.52
310,15-1785,FL,Open,High School,3,05:59:56,,270,0.00,25.43,295.43
311,15-4531,CO,Open,High School,3,05:02:56,,281,0.00,14.29,295.29
312,15-4530,CO,Open,High School,3,05:10:57,,281,0.00,14.14,295.14
313,15-2459,TX,Open,High School,3,04:49:55,,279,0.00,16.14,295.14
314,15-3455,CA,Open,High School,3,05:24:22,,280,0.00,15.14,295.14
315,15-4745,NJ,Open,High School,3,05:51:56,,275,0.00,20.14,295.14
316,15-2055,IN,Open,High School,3,04:49:56,,285,0.00,10.00,295.00
317,15-3551,VA,Open,High School,3,05:25:56,,295,0.00,0.00,295.00
318,15-4130,TX,Open,High School,3,05:39:59,,295,0.00,0.00,295.00
319,15-3552,VA,Open,High School,3,05:25:56,,295,0.00,0.00,295.00
320,15-2672,CA,Open,High School,3,05:54:59,,268,0.00,27.00,295.00
321,15-3207,MO,All Service,High School,3,05:52:01,,271,0.00,23.71,294.71
322,15-4229,MI,Open,High School,3,05:53:57,,285,0.00,9.43,294.43
323,15-3170,MT,Open,High School,3,05:54:37,,275,0.00,19.43,294.43
324,15-1656,CAN,Open,High School,3,05:41:57,,290,0.00,4.33,294.33
325,15-3713,GA,Open,High School,3,05:31:56,,272,0.00,22.29,294.29
326,15-3471,AE,Open,High School,3,05:44:01,,267,0.00,27.14,294.14
327,15-1392,AR,Open,High School,3,05:35:56,,275,0.00,19.10,294.10
328,15-3827,IL,Open,High School,3,05:57:01,,270,0.00,24.00,294.00
329,15-2150,TX,Open,High School,3,05:43:56,,267,0.00,26.81,293.81
330,15-3132,MI,Open,High School,3,05:09:58,,287,0.00,6.67,293.67
331,15-0817,FL,All Service,High School,3,150:37:11,T,277,-2.00,18.29,293.29
332,15-1283,GA,All Service,High School,3,05:53:30,,271,0.00,22.29,293.29
333,15-1393,AR,Open,High School,3,05:51:00,,276,0.00,17.29,293.29
334,15-3739,TX,All Service,High School,3,05:55:56,,269,0.00,24.24,293.24
335,15-0029,NJ,Open,High School,3,06:04:54,T,285,-2.00,10.14,293.14
336,15-4590,TX,Open,High School,3,10:44:56,T,295,-2.00,0.00,293.00
337,15-2106,MA,All Service,High School,3,05:51:56,,281,0.00,11.67,292.67
338,15-1606,VA,All Service,High School,3,05:52:55,,280,0.00,12.67,292.67
339,15-2551,FL,Open,High School,3,05:53:58,,279,0.00,13.52,292.52
340,15-0815,AE,Open,High School,3,05:33:00,,273,0.00,19.43,292.43
341,15-2899,ID,Open,High School,3,03:23:56,,282,0.00,10.29,292.29
342,15-3944,CA,Open,High School,3,05:56:00,,265,0.00,27.29,292.29
343,15-3611,TX,All Service,High School,3,05:18:57,,273,0.00,19.24,292.24
344,15-2400,CO,Open,High School,3,05:33:03,,283,0.00,9.10,292.10
345,15-0194,CA,All Service,High School,3,05:42:56,,285,0.00,7.00,292.00
346,15-1693,NJ,Open,High School,3,05:34:01,,285,-5.00,12.00,292.00
347,15-1207,NC,Open,High School,3,05:52:56,,267,0.00,24.86,291.86
348,15-3573,MD,Open,High School,3,05:02:00,,270,0.00,21.71,291.71
349,15-1773,MD,Open,High School,3,05:45:55,,271,0.00,20.57,291.57
350,15-0012,NC,All Service,High School,3,05:56:56,,279,0.00,12.38,291.38
351,15-0124,TN,Open,High School,3,05:56:56,,266,0.00,25.14,291.14
352,15-4919,MI,Open,High School,3,04:48:58,,268,0.00,23.00,291.00
353,15-2012,OR,Open,High School,3,05:53:58,,285,0.00,6.00,291.00
354,15-3411,VA,Open,High School,3,05:35:55,,268,0.00,23.00,291.00
